,core_number,pagerank,degree_centrality,betweenness_centrality,max_clique_size,cliques_involved
2021-10-04,2.0,0.007337779023762174,0.1348314606741573,4.747586643456243e-05,0.0,0.0
2021-10-11,1.0,0.0660139512428458,0.10714285714285714,0.0,0.0,0.0
2021-11-29,1.0,0.649122638064138,1.0,0.0,0.0,0.0
2021-12-06,1.0,0.649122638064138,1.0,0.0,0.0,0.0
2022-01-10,1.0,0.026273961565805744,0.045454545454545456,0.00017283097131005876,0.0,0.0
2022-01-17,1.0,0.008652228248887834,0.017482517482517484,2.45368666421298e-05,0.0,0.0
2022-01-24,1.0,0.004824489400252629,0.027379400260756193,4.255159806781704e-05,0.0,0.0
2022-01-31,2.0,0.010378615182699379,0.02079002079002079,6.496881496881496e-05,0.0,0.0
2022-02-07,1.0,0.010787689991625105,0.045454545454545456,4.659349761855457e-05,0.0,0.0
2022-02-14,2.0,0.005946341465695461,0.01865136298421808,4.12275928033114e-05,0.0,0.0
2022-02-21,2.0,0.00411938416655196,0.040339702760084924,6.768785070767648e-05,0.0,0.0
2022-02-28,2.0,0.03241206853084501,0.06284153005464481,2.9942360955161315e-05,0.0,0.0
2022-03-07,1.0,0.005889381091805292,0.021153846153846155,5.558025789239662e-05,0.0,0.0
2022-03-14,2.0,0.017929580917910384,0.03258145363408521,7.556579891940909e-05,0.0,0.0
2022-03-21,2.0,0.025629328045357756,0.046925566343042076,5.507387767304999e-05,0.0,0.0
2022-03-28,2.0,0.015980424920640723,0.03035143769968051,0.00010223642172523962,0.0,0.0
2022-04-04,2.0,0.00818393326331665,0.014814814814814815,5.497148354291212e-05,0.0,0.0
2022-04-11,2.0,0.01031934500008395,0.08181818181818182,3.684259003407939e-05,3.0,1.0
2022-04-18,1.0,0.01189717745225544,0.0273972602739726,0.00018816799638717447,0.0,0.0
2022-04-25,1.0,0.022204292922954602,0.043478260869565216,5.6958420353142206e-05,0.0,0.0
2022-05-02,1.0,0.017672424950647816,0.07692307692307693,8.227067050596463e-05,0.0,0.0
2022-05-09,1.0,0.009425661580122419,0.025236593059936908,5.989697719921735e-05,0.0,0.0
2022-05-16,1.0,0.013120546575114344,0.01829268292682927,7.481669908723627e-05,0.0,0.0
2022-05-23,1.0,0.02637771720236105,0.039735099337748346,0.0005298013245033113,0.0,0.0
